Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
69.000	4.0000	2.7705	0.36095	219.60	363.98	17.489	3.1196	5.2094	492.81	-0.029762	7.8053e-06	0.057906	supercritical
70.000	4.0000	2.7311	0.36616	222.73	369.19	17.564	3.1196	5.2089	496.32	-0.030517	7.8743e-06	0.058453	supercritical
71.000	4.0000	2.6928	0.37136	225.85	374.40	17.638	3.1196	5.2084	499.80	-0.031248	7.9429e-06	0.058998	supercritical
72.000	4.0000	2.6555	0.37657	228.98	379.61	17.711	3.1195	5.2080	503.26	-0.031959	8.0112e-06	0.059540	supercritical
73.000	4.0000	2.6193	0.38178	232.11	384.82	17.783	3.1195	5.2076	506.69	-0.032648	8.0792e-06	0.060081	supercritical
74.000	4.0000	2.5841	0.38698	235.23	390.02	17.853	3.1195	5.2071	510.10	-0.033318	8.1469e-06	0.060619	supercritical
75.000	4.0000	2.5498	0.39219	238.35	395.23	17.923	3.1194	5.2067	513.49	-0.033969	8.2143e-06	0.061155	supercritical
76.000	4.0000	2.5164	0.39740	241.48	400.44	17.992	3.1194	5.2064	516.85	-0.034601	8.2814e-06	0.061690	supercritical
77.000	4.0000	2.4838	0.40260	244.60	405.64	18.060	3.1194	5.2060	520.19	-0.035216	8.3481e-06	0.062222	supercritical
78.000	4.0000	2.4521	0.40781	247.73	410.85	18.128	3.1193	5.2056	523.52	-0.035815	8.4146e-06	0.062752	supercritical
79.000	4.0000	2.4213	0.41301	250.85	416.05	18.194	3.1193	5.2053	526.82	-0.036396	8.4809e-06	0.063281	supercritical
80.000	4.0000	2.3911	0.41821	253.97	421.26	18.259	3.1193	5.2050	530.09	-0.036963	8.5468e-06	0.063807	supercritical
81.000	4.0000	2.3617	0.42342	257.10	426.46	18.324	3.1193	5.2047	533.35	-0.037514	8.6125e-06	0.064332	supercritical
82.000	4.0000	2.3331	0.42862	260.22	431.67	18.388	3.1192	5.2043	536.59	-0.038050	8.6779e-06	0.064855	supercritical
83.000	4.0000	2.3051	0.43382	263.34	436.87	18.451	3.1192	5.2041	539.81	-0.038572	8.7431e-06	0.065376	supercritical
84.000	4.0000	2.2778	0.43903	266.47	442.08	18.513	3.1192	5.2038	543.01	-0.039081	8.8080e-06	0.065896	supercritical
85.000	4.0000	2.2511	0.44423	269.59	447.28	18.575	3.1191	5.2035	546.19	-0.039577	8.8726e-06	0.066413	supercritical
86.000	4.0000	2.2250	0.44943	272.71	452.48	18.636	3.1191	5.2032	549.35	-0.040060	8.9371e-06	0.066929	supercritical
87.000	4.0000	2.1996	0.45463	275.84	457.69	18.696	3.1191	5.2030	552.50	-0.040531	9.0013e-06	0.067443	supercritical
88.000	4.0000	2.1747	0.45983	278.96	462.89	18.755	3.1191	5.2027	555.62	-0.040990	9.0652e-06	0.067956	supercritical
89.000	4.0000	2.1504	0.46503	282.08	468.09	18.814	3.1190	5.2025	558.73	-0.041438	9.1289e-06	0.068467	supercritical
90.000	4.0000	2.1266	0.47023	285.20	473.30	18.872	3.1190	5.2023	561.82	-0.041875	9.1925e-06	0.068976	supercritical
91.000	4.0000	2.1033	0.47543	288.32	478.50	18.930	3.1190	5.2020	564.89	-0.042301	9.2557e-06	0.069483	supercritical
92.000	4.0000	2.0806	0.48063	291.45	483.70	18.987	3.1189	5.2018	567.95	-0.042716	9.3188e-06	0.069989	supercritical
93.000	4.0000	2.0583	0.48583	294.57	488.90	19.043	3.1189	5.2016	570.99	-0.043122	9.3817e-06	0.070494	supercritical
94.000	4.0000	2.0365	0.49103	297.69	494.10	19.098	3.1189	5.2014	574.02	-0.043518	9.4443e-06	0.070997	supercritical
95.000	4.0000	2.0152	0.49623	300.81	499.30	19.153	3.1189	5.2012	577.02	-0.043905	9.5068e-06	0.071498	supercritical
96.000	4.0000	1.9943	0.50143	303.93	504.50	19.208	3.1188	5.2010	580.02	-0.044283	9.5691e-06	0.071998	supercritical
97.000	4.0000	1.9738	0.50663	307.05	509.71	19.262	3.1188	5.2008	582.99	-0.044651	9.6311e-06	0.072497	supercritical
98.000	4.0000	1.9538	0.51183	310.17	514.91	19.315	3.1188	5.2007	585.96	-0.045012	9.6930e-06	0.072994	supercritical
99.000	4.0000	1.9341	0.51703	313.30	520.11	19.368	3.1188	5.2005	588.90	-0.045364	9.7547e-06	0.073489	supercritical
100.00	4.0000	1.9149	0.52223	316.42	525.31	19.420	3.1188	5.2003	591.84	-0.045708	9.8162e-06	0.073983	supercritical
101.00	4.0000	1.8960	0.52743	319.54	530.51	19.472	3.1187	5.2002	594.75	-0.046044	9.8579e-06	0.074476	supercritical
102.00	4.0000	1.8775	0.53263	322.66	535.71	19.523	3.1187	5.2000	597.66	-0.046373	9.8997e-06	0.074967	supercritical
103.00	4.0000	1.8593	0.53782	325.78	540.91	19.574	3.1187	5.1998	600.55	-0.046694	9.9414e-06	0.075457	supercritical
104.00	4.0000	1.8415	0.54302	328.90	546.11	19.624	3.1187	5.1997	603.42	-0.047008	9.9830e-06	0.075946	supercritical
105.00	4.0000	1.8241	0.54822	332.02	551.31	19.674	3.1186	5.1996	606.28	-0.047315	1.0025e-05	0.076433	supercritical
106.00	4.0000	1.8070	0.55342	335.14	556.51	19.723	3.1186	5.1994	609.13	-0.047616	1.0066e-05	0.076919	supercritical
107.00	4.0000	1.7901	0.55861	338.26	561.71	19.772	3.1186	5.1993	611.97	-0.047910	1.0108e-05	0.077404	supercritical
108.00	4.0000	1.7736	0.56381	341.38	566.91	19.820	3.1186	5.1991	614.79	-0.048198	1.0149e-05	0.077887	supercritical
109.00	4.0000	1.7574	0.56901	344.50	572.10	19.868	3.1186	5.1990	617.60	-0.048479	1.0191e-05	0.078369	supercritical
110.00	4.0000	1.7415	0.57421	347.62	577.30	19.916	3.1185	5.1989	620.39	-0.048755	1.0232e-05	0.078850	supercritical
111.00	4.0000	1.7259	0.57940	350.74	582.50	19.963	3.1185	5.1988	623.18	-0.049024	1.0293e-05	0.079330	supercritical
112.00	4.0000	1.7106	0.58460	353.86	587.70	20.010	3.1185	5.1986	625.95	-0.049288	1.0353e-05	0.079808	supercritical
113.00	4.0000	1.6955	0.58980	356.98	592.90	20.056	3.1185	5.1985	628.71	-0.049547	1.0413e-05	0.080285	supercritical
114.00	4.0000	1.6807	0.59499	360.10	598.10	20.102	3.1185	5.1984	631.45	-0.049800	1.0473e-05	0.080761	supercritical
115.00	4.0000	1.6661	0.60019	363.22	603.30	20.147	3.1184	5.1983	634.19	-0.050048	1.0532e-05	0.081236	supercritical
116.00	4.0000	1.6518	0.60539	366.34	608.49	20.192	3.1184	5.1982	636.91	-0.050290	1.0592e-05	0.081709	supercritical
117.00	4.0000	1.6378	0.61058	369.46	613.69	20.237	3.1184	5.1981	639.62	-0.050528	1.0651e-05	0.082182	supercritical
118.00	4.0000	1.6240	0.61578	372.58	618.89	20.281	3.1184	5.1980	642.32	-0.050761	1.0710e-05	0.082653	supercritical
119.00	4.0000	1.6104	0.62097	375.70	624.09	20.325	3.1184	5.1979	645.01	-0.050989	1.0769e-05	0.083123	supercritical
120.00	4.0000	1.5970	0.62617	378.82	629.29	20.368	3.1183	5.1978	647.69	-0.051213	1.0828e-05	0.083592	supercritical
121.00	4.0000	1.5839	0.63137	381.94	634.48	20.411	3.1183	5.1977	650.35	-0.051432	1.0887e-05	0.084060	supercritical
122.00	4.0000	1.5709	0.63656	385.06	639.68	20.454	3.1183	5.1976	653.01	-0.051646	1.0945e-05	0.084527	supercritical
123.00	4.0000	1.5582	0.64176	388.18	644.88	20.496	3.1183	5.1975	655.65	-0.051857	1.1003e-05	0.084992	supercritical
124.00	4.0000	1.5457	0.64695	391.30	650.08	20.539	3.1183	5.1974	658.29	-0.052063	1.1062e-05	0.085457	supercritical
125.00	4.0000	1.5334	0.65215	394.41	655.27	20.580	3.1183	5.1974	660.91	-0.052265	1.1120e-05	0.085920	supercritical
126.00	4.0000	1.5213	0.65734	397.53	660.47	20.622	3.1182	5.1973	663.52	-0.052464	1.1178e-05	0.086383	supercritical
127.00	4.0000	1.5093	0.66254	400.65	665.67	20.663	3.1182	5.1972	666.12	-0.052658	1.1236e-05	0.086844	supercritical
128.00	4.0000	1.4976	0.66773	403.77	670.87	20.704	3.1182	5.1971	668.72	-0.052849	1.1293e-05	0.087304	supercritical
129.00	4.0000	1.4860	0.67293	406.89	676.06	20.744	3.1182	5.1970	671.30	-0.053035	1.1351e-05	0.087764	supercritical
130.00	4.0000	1.4747	0.67812	410.01	681.26	20.784	3.1182	5.1970	673.87	-0.053219	1.1408e-05	0.088222	supercritical
131.00	4.0000	1.4634	0.68332	413.13	686.46	20.824	3.1182	5.1969	676.43	-0.053399	1.1466e-05	0.088679	supercritical
132.00	4.0000	1.4524	0.68851	416.25	691.65	20.864	3.1181	5.1968	678.99	-0.053575	1.1523e-05	0.089135	supercritical
133.00	4.0000	1.4415	0.69371	419.37	696.85	20.903	3.1181	5.1968	681.53	-0.053748	1.1580e-05	0.089591	supercritical
134.00	4.0000	1.4308	0.69890	422.49	702.05	20.942	3.1181	5.1967	684.06	-0.053918	1.1637e-05	0.090045	supercritical
135.00	4.0000	1.4203	0.70410	425.60	707.24	20.980	3.1181	5.1966	686.59	-0.054085	1.1693e-05	0.090498	supercritical
136.00	4.0000	1.4099	0.70929	428.72	712.44	21.019	3.1181	5.1966	689.10	-0.054248	1.1750e-05	0.090951	supercritical
137.00	4.0000	1.3996	0.71449	431.84	717.64	21.057	3.1181	5.1965	691.61	-0.054409	1.1807e-05	0.091402	supercritical
138.00	4.0000	1.3895	0.71968	434.96	722.83	21.095	3.1181	5.1964	694.11	-0.054566	1.1863e-05	0.091852	supercritical
139.00	4.0000	1.3795	0.72488	438.08	728.03	21.132	3.1180	5.1964	696.60	-0.054721	1.1919e-05	0.092302	supercritical
140.00	4.0000	1.3697	0.73007	441.20	733.23	21.169	3.1180	5.1963	699.08	-0.054872	1.1975e-05	0.092751	supercritical
141.00	4.0000	1.3601	0.73527	444.32	738.42	21.206	3.1180	5.1962	701.55	-0.055021	1.2031e-05	0.093198	supercritical
142.00	4.0000	1.3505	0.74046	447.43	743.62	21.243	3.1180	5.1962	704.01	-0.055167	1.2087e-05	0.093645	supercritical
143.00	4.0000	1.3411	0.74566	450.55	748.82	21.279	3.1180	5.1961	706.46	-0.055311	1.2143e-05	0.094091	supercritical
144.00	4.0000	1.3318	0.75085	453.67	754.01	21.316	3.1180	5.1961	708.91	-0.055452	1.2199e-05	0.094536	supercritical
145.00	4.0000	1.3227	0.75604	456.79	759.21	21.352	3.1180	5.1960	711.34	-0.055590	1.2254e-05	0.094980	supercritical
146.00	4.0000	1.3136	0.76124	459.91	764.40	21.387	3.1179	5.1960	713.77	-0.055726	1.2310e-05	0.095423	supercritical
147.00	4.0000	1.3047	0.76643	463.03	769.60	21.423	3.1179	5.1959	716.19	-0.055859	1.2365e-05	0.095865	supercritical
148.00	4.0000	1.2960	0.77163	466.14	774.80	21.458	3.1179	5.1959	718.60	-0.055990	1.2420e-05	0.096307	supercritical
149.00	4.0000	1.2873	0.77682	469.26	779.99	21.493	3.1179	5.1958	721.00	-0.056119	1.2476e-05	0.096747	supercritical
150.00	4.0000	1.2787	0.78201	472.38	785.19	21.528	3.1179	5.1958	723.40	-0.056245	1.2531e-05	0.097187	supercritical
151.00	4.0000	1.2703	0.78721	475.50	790.38	21.562	3.1179	5.1957	725.79	-0.056369	1.2586e-05	0.097626	supercritical
152.00	4.0000	1.2620	0.79240	478.62	795.58	21.597	3.1179	5.1957	728.17	-0.056491	1.2640e-05	0.098064	supercritical
153.00	4.0000	1.2538	0.79760	481.74	800.77	21.631	3.1179	5.1956	730.54	-0.056611	1.2695e-05	0.098501	supercritical
154.00	4.0000	1.2457	0.80279	484.85	805.97	21.664	3.1178	5.1956	732.90	-0.056729	1.2750e-05	0.098938	supercritical
155.00	4.0000	1.2376	0.80798	487.97	811.17	21.698	3.1178	5.1956	735.26	-0.056844	1.2804e-05	0.099373	supercritical
156.00	4.0000	1.2297	0.81318	491.09	816.36	21.732	3.1178	5.1955	737.61	-0.056958	1.2859e-05	0.099808	supercritical
157.00	4.0000	1.2219	0.81837	494.21	821.56	21.765	3.1178	5.1955	739.95	-0.057069	1.2913e-05	0.10024	supercritical
158.00	4.0000	1.2142	0.82356	497.33	826.75	21.798	3.1178	5.1954	742.28	-0.057179	1.2967e-05	0.10068	supercritical
159.00	4.0000	1.2066	0.82876	500.44	831.95	21.831	3.1178	5.1954	744.61	-0.057286	1.3021e-05	0.10111	supercritical
160.00	4.0000	1.1991	0.83395	503.56	837.14	21.863	3.1178	5.1954	746.93	-0.057392	1.3075e-05	0.10154	supercritical
161.00	4.0000	1.1917	0.83915	506.68	842.34	21.895	3.1178	5.1953	749.24	-0.057496	1.3129e-05	0.10197	supercritical
162.00	4.0000	1.1844	0.84434	509.80	847.53	21.928	3.1177	5.1953	751.55	-0.057598	1.3183e-05	0.10240	supercritical
163.00	4.0000	1.1771	0.84953	512.92	852.73	21.960	3.1177	5.1952	753.85	-0.057699	1.3237e-05	0.10283	supercritical
164.00	4.0000	1.1700	0.85473	516.03	857.92	21.991	3.1177	5.1952	756.14	-0.057798	1.3290e-05	0.10326	supercritical
165.00	4.0000	1.1629	0.85992	519.15	863.12	22.023	3.1177	5.1952	758.42	-0.057895	1.3344e-05	0.10369	supercritical
166.00	4.0000	1.1559	0.86511	522.27	868.31	22.054	3.1177	5.1951	760.70	-0.057990	1.3397e-05	0.10411	supercritical
167.00	4.0000	1.1490	0.87031	525.39	873.51	22.086	3.1177	5.1951	762.97	-0.058084	1.3451e-05	0.10454	supercritical
168.00	4.0000	1.1422	0.87550	528.50	878.70	22.117	3.1177	5.1951	765.23	-0.058176	1.3504e-05	0.10496	supercritical
169.00	4.0000	1.1355	0.88069	531.62	883.90	22.147	3.1177	5.1950	767.49	-0.058266	1.3557e-05	0.10539	supercritical
170.00	4.0000	1.1288	0.88589	534.74	889.09	22.178	3.1177	5.1950	769.74	-0.058355	1.3610e-05	0.10581	supercritical
171.00	4.0000	1.1222	0.89108	537.86	894.29	22.208	3.1177	5.1950	771.99	-0.058443	1.3663e-05	0.10624	supercritical
172.00	4.0000	1.1157	0.89627	540.98	899.48	22.239	3.1176	5.1949	774.22	-0.058529	1.3716e-05	0.10666	supercritical
173.00	4.0000	1.1093	0.90147	544.09	904.68	22.269	3.1176	5.1949	776.46	-0.058613	1.3769e-05	0.10708	supercritical
174.00	4.0000	1.1030	0.90666	547.21	909.87	22.299	3.1176	5.1949	778.68	-0.058696	1.3822e-05	0.10750	supercritical
175.00	4.0000	1.0967	0.91185	550.33	915.07	22.329	3.1176	5.1949	780.90	-0.058778	1.3874e-05	0.10792	supercritical
176.00	4.0000	1.0905	0.91704	553.45	920.26	22.358	3.1176	5.1948	783.11	-0.058858	1.3927e-05	0.10834	supercritical
177.00	4.0000	1.0843	0.92224	556.56	925.46	22.388	3.1176	5.1948	785.32	-0.058937	1.3979e-05	0.10876	supercritical
178.00	4.0000	1.0782	0.92743	559.68	930.65	22.417	3.1176	5.1948	787.52	-0.059015	1.4032e-05	0.10918	supercritical
179.00	4.0000	1.0722	0.93262	562.80	935.85	22.446	3.1176	5.1947	789.71	-0.059091	1.4084e-05	0.10960	supercritical
180.00	4.0000	1.0663	0.93782	565.92	941.04	22.475	3.1176	5.1947	791.90	-0.059166	1.4136e-05	0.11002	supercritical
181.00	4.0000	1.0604	0.94301	569.03	946.24	22.504	3.1176	5.1947	794.08	-0.059240	1.4188e-05	0.11043	supercritical
182.00	4.0000	1.0546	0.94820	572.15	951.43	22.532	3.1175	5.1947	796.25	-0.059313	1.4241e-05	0.11085	supercritical
183.00	4.0000	1.0489	0.95340	575.27	956.63	22.561	3.1175	5.1946	798.42	-0.059384	1.4293e-05	0.11126	supercritical
184.00	4.0000	1.0432	0.95859	578.39	961.82	22.589	3.1175	5.1946	800.59	-0.059454	1.4344e-05	0.11168	supercritical
185.00	4.0000	1.0376	0.96378	581.50	967.02	22.617	3.1175	5.1946	802.75	-0.059523	1.4396e-05	0.11209	supercritical
186.00	4.0000	1.0320	0.96897	584.62	972.21	22.645	3.1175	5.1946	804.90	-0.059591	1.4448e-05	0.11250	supercritical
187.00	4.0000	1.0265	0.97417	587.74	977.40	22.673	3.1175	5.1945	807.04	-0.059658	1.4500e-05	0.11292	supercritical
188.00	4.0000	1.0211	0.97936	590.86	982.60	22.701	3.1175	5.1945	809.18	-0.059723	1.4551e-05	0.11333	supercritical
189.00	4.0000	1.0157	0.98455	593.97	987.79	22.728	3.1175	5.1945	811.32	-0.059788	1.4603e-05	0.11374	supercritical
190.00	4.0000	1.0104	0.98975	597.09	992.99	22.756	3.1175	5.1945	813.45	-0.059851	1.4654e-05	0.11415	supercritical
191.00	4.0000	1.0051	0.99494	600.21	998.18	22.783	3.1175	5.1945	815.57	-0.059914	1.4706e-05	0.11456	supercritical
192.00	4.0000	0.99987	1.0001	603.32	1003.4	22.810	3.1175	5.1944	817.69	-0.059975	1.4757e-05	0.11497	supercritical
193.00	4.0000	0.99470	1.0053	606.44	1008.6	22.837	3.1175	5.1944	819.80	-0.060035	1.4808e-05	0.11538	supercritical
194.00	4.0000	0.98959	1.0105	609.56	1013.8	22.864	3.1174	5.1944	821.91	-0.060095	1.4859e-05	0.11579	supercritical
195.00	4.0000	0.98453	1.0157	612.68	1019.0	22.891	3.1174	5.1944	824.01	-0.060153	1.4910e-05	0.11619	supercritical
196.00	4.0000	0.97953	1.0209	615.79	1024.2	22.917	3.1174	5.1943	826.11	-0.060210	1.4961e-05	0.11660	supercritical
197.00	4.0000	0.97457	1.0261	618.91	1029.3	22.944	3.1174	5.1943	828.20	-0.060267	1.5012e-05	0.11701	supercritical
198.00	4.0000	0.96966	1.0313	622.03	1034.5	22.970	3.1174	5.1943	830.29	-0.060322	1.5063e-05	0.11741	supercritical
199.00	4.0000	0.96480	1.0365	625.15	1039.7	22.996	3.1174	5.1943	832.37	-0.060377	1.5114e-05	0.11782	supercritical
200.00	4.0000	0.95999	1.0417	628.26	1044.9	23.022	3.1174	5.1943	834.44	-0.060430	1.5165e-05	0.11822	supercritical
201.00	4.0000	0.95523	1.0469	631.38	1050.1	23.048	3.1174	5.1943	836.51	-0.060483	1.5215e-05	0.11863	supercritical
202.00	4.0000	0.95052	1.0521	634.50	1055.3	23.074	3.1174	5.1942	838.58	-0.060535	1.5266e-05	0.11903	supercritical
203.00	4.0000	0.94585	1.0573	637.61	1060.5	23.100	3.1174	5.1942	840.64	-0.060586	1.5316e-05	0.11943	supercritical
204.00	4.0000	0.94123	1.0624	640.73	1065.7	23.125	3.1174	5.1942	842.69	-0.060636	1.5367e-05	0.11983	supercritical
205.00	4.0000	0.93665	1.0676	643.85	1070.9	23.151	3.1174	5.1942	844.74	-0.060686	1.5417e-05	0.12024	supercritical
206.00	4.0000	0.93211	1.0728	646.97	1076.1	23.176	3.1174	5.1942	846.79	-0.060734	1.5467e-05	0.12064	supercritical
207.00	4.0000	0.92762	1.0780	650.08	1081.3	23.201	3.1173	5.1941	848.83	-0.060782	1.5518e-05	0.12104	supercritical
208.00	4.0000	0.92318	1.0832	653.20	1086.5	23.226	3.1173	5.1941	850.87	-0.060829	1.5568e-05	0.12144	supercritical
209.00	4.0000	0.91877	1.0884	656.32	1091.7	23.251	3.1173	5.1941	852.90	-0.060875	1.5618e-05	0.12184	supercritical
210.00	4.0000	0.91441	1.0936	659.43	1096.9	23.276	3.1173	5.1941	854.92	-0.060920	1.5668e-05	0.12224	supercritical
211.00	4.0000	0.91009	1.0988	662.55	1102.1	23.300	3.1173	5.1941	856.94	-0.060965	1.5718e-05	0.12263	supercritical
212.00	4.0000	0.90581	1.1040	665.67	1107.3	23.325	3.1173	5.1941	858.96	-0.061009	1.5768e-05	0.12303	supercritical
213.00	4.0000	0.90157	1.1092	668.79	1112.5	23.349	3.1173	5.1941	860.97	-0.061052	1.5818e-05	0.12343	supercritical
214.00	4.0000	0.89737	1.1144	671.90	1117.7	23.374	3.1173	5.1940	862.98	-0.061094	1.5867e-05	0.12383	supercritical
215.00	4.0000	0.89321	1.1196	675.02	1122.8	23.398	3.1173	5.1940	864.98	-0.061136	1.5917e-05	0.12422	supercritical
216.00	4.0000	0.88908	1.1248	678.14	1128.0	23.422	3.1173	5.1940	866.98	-0.061177	1.5967e-05	0.12462	supercritical
217.00	4.0000	0.88500	1.1299	681.25	1133.2	23.446	3.1173	5.1940	868.97	-0.061217	1.6016e-05	0.12501	supercritical
